1,Clothing,ファッション,Kleidung,Vêtements
2,Tops,トップス,Oberteile,Hauts
3,Bottoms,ボトムス,Unterteile,Pantalons/jupes
4,Dresses,ワンピース,Kleider,Robes/tenues
5,Headwear,かぶりもの,Kopfbedeckungen,Couvre-chefs/masques
6,Accessories,アクセサリー,Accessoires,Accessoires
7,Socks,くつした,Socken,Chaussettes
8,Shoes,くつ,Schuhe,Chaussures
9,Bags,バッグ,Taschen,Sacs
10,Umbrellas,かさ,Schirme,Parapluies
11,Nature,植物など,Natur,Nature
12,Fruits,くだもの,Früchte,Fruits
13,Flowers,花,Blumen,Musée
14,Other Items,その他,Verschiedene Artikel,Objets divers
16,Tools,どうぐ,Werkzeuge,Outils
17,Museum,博物館,Museum,Museum
18,Fish,サカナ,Fische,Poissons
19,Fossils,かせき,Fossilien,Fossiles
20,Bugs,ムシ,Insekten,Insectes
21,Other,その他,Andere,Autre
22,Seeds,たね,Saat,Graines
23,Crafting Materials,そざい,Materialien,Matériaux
24,Collectibles,収集品,Sammlerstücke,Objets de collection
25,Models,もけい,Modelle,Modèles
26,Villager Photos,しゃしん,Fotos,Photos
27,Posters,ポスター,Poster,Posters
28,Music,ミュージック,Musik,Musiques
30,Recipes,レシピ,Bastelanleitungen,Plans de bricolage
33,Furniture,かぐ,Möbel,Meubles
34,Housewares,かぐ,Einrichtung,Mobilier
35,Miscellaneous,こもの,Kleinkram,Divers
36,Wall-mounted,かべかけ,Wanddeko,Déco murale
37,Wallpaper,かべがみ,Tapeten,Papiers peints
38,Flooring,ゆかいた,Böden,Sols
39,Rugs,ラグ,Teppiche,Tapis
41,Fences,さく,Zäune,Clôtures
